seed,schedule_id,category,label,efcl_cost,aer_fidelity,neglog_aer_fidelity,efcl_makespan,aer_makespan,efcl_exec,efcl_idle,efcl_comm,efcl_move,aer_comm_count,aer_move_count,aer_swap_count,aer_n_blocks,anchor,operator,anchor_moves,sched_moves,d_moves,schedule,efcl_rank,aer_rank
0,14,random,R0.5,1.1971558332443237,0.403395972816907,0.907836636613228,21970.76953125,24520.0,0.035119809210300446,0.6868969202041626,0.2741326093673706,0.20100653171539307,9,20,0,11,,,,20,,11010001|11010001|11010001|11100001|01101001|01101001|11101000|11100010|11100010|11100010|01101010|01101010|01110010|01110010|01010011|01010101|01010101|01001101|01001101|11001001,15,15
0,15,random,R0.5,1.2620290517807007,0.3980184900790502,0.9212568172917641,21270.76953125,24020.0,0.03246206417679787,0.7745285034179688,0.2741326093673706,0.18090587854385376,9,18,0,10,,,,18,,11101000|11101000|11101000|11101000|11101000|11101000|11100010|11100010|11100010|11001010|11011000|01011001|00011011|10011001|10011001|00011011|00011011|00111010|00101011|00101011,16,16
1,0,baseline,B1,0.5731494426727295,0.6077348802618328,0.49801654431531023,9232.966796875,9600.0,0.03955916315317154,0.19853928685188293,0.33505094051361084,0.0,11,0,4,1,,,0,0,0,10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010|10011010,1,1
1,1,baseline,B2,1.3502026796340942,0.414329470781727,0.8810937985118859,21921.60546875,23440.0,0.042357608675956726,0.7943539619445801,0.09137753397226334,0.42211371660232544,3,42,5,16,,,42,42,0,00010111|10100011|10000111|11001001|01001011|01100011|01100011|11000011|01110010|10101001|00111001|00111001|10111000|10110100|00011110|00011110|10001110|10001110|11001010|10001110,15,14
1,2,baseline,B3,0.7196347713470459,0.5643365131598913,0.5721045508728124,13096.9228515625,13820.0,0.057435326278209686,0.3880668878555298,0.2741326093673706,0.0,9,0,2,1,,,0,0,0,00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011|00110011,2,2
1,3,baseline,B4,0.8978279829025269,0.4808526734236309,0.7321943480519938,14327.6923828125,14220.0,0.04041581228375435,0.40052443742752075,0.4568876624107361,0.0,15,0,1,1,,,0,0,0,00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111,10,10
1,4,perturb,B1p0,0.7362034916877747,0.5520313207036855,0.5941504939094902,12104.681640625,12000.0,0.04372801259160042,0.3269653916358948,0.36551010608673096,0.0,12,0,2,1,B1,C,0,0,0,11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010|11001010,3,3
1,5,perturb,B1p1,0.755213737487793,0.5135446903828803,0.6664182224698624,11200.0,11520.0,0.03301751986145973,0.26530855894088745,0.4568876624107361,0.0,15,0,1,1,B1,C,0,0,0,00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110|00011110,5,8
1,6,perturb,B2p0,1.2827441692352295,0.430867545328107,0.8419545555350264,20921.60546875,22820.0,0.043758220970630646,0.7559539675712585,0.060918357223272324,0.42211371660232544,2,42,6,15,B2,B,42,42,0,00010111|10100011|10000111|11001001|01100011|01100011|01100011|11000011|01110010|10101001|00111001|00111001|10111000|10110100|00011110|00011110|10001110|10001110|11001010|10001110,14,12
1,7,perturb,B2p1,1.3547627925872803,0.4145609041060122,0.8805353812897518,21921.60546875,23420.0,0.042357608675956726,0.7989139556884766,0.09137753397226334,0.42211371660232544,3,42,5,16,B2,B,42,42,0,00010111|10100011|10000111|11001001|01001011|01100011|01100011|11000011|01110010|10101001|00111001|00111001|10111000|10110100|00011110|10001110|10001110|10001110|11001010|10001110,16,13
1,8,perturb,B3p0,0.7577893733978271,0.5318497433061753,0.6313942669278526,12116.9228515625,12220.0,0.04542459920048714,0.3163953721523285,0.39596930146217346,0.0,13,0,1,1,B3,C,0,0,0,00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001|00111001,6,5
1,9,perturb,B3p1,0.8860739469528198,0.501821352458142,0.6895110942250586,15000.0,15000.0,0.05593685805797577,0.46462687849998474,0.36551013588905334,0.0,12,0,1,1,B3,C,0,0,0,01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001|01110001,9,9
1,10,random,R0.0,0.7382470965385437,0.5421552493155808,0.6122028807063551,12104.681640625,13120.0,0.04459713026881218,0.3281397819519043,0.36551010608673096,0.0,12,0,2,1,,,,0,,11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010|11010010,4,4
1,11,random,R0.0,0.7947719693183899,0.5306897056726481,0.6335777869760549,13404.615234375,13220.0,0.0508219413459301,0.3784399926662445,0.36551013588905334,0.0,12,0,1,1,,,,0,,10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001|10110001,7,6
1,12,random,R0.1,0.9876370429992676,0.44542634757612165,0.8087233710451321,15500.0,15500.0,0.03931406885385513,0.4408753514289856,0.4873468279838562,0.020100653171539307,16,2,2,2,,,,2,,10011100|10011100|10011100|10011100|10011100|10011100|10011100|10011100|10011100|10011100|10011100|10101100|10101100|10101100|10101100|10101100|10101100|10101100|10101100|10101100,11,11
1,13,random,R0.1,0.8127197027206421,0.5158454804108197,0.6619480149148246,13932.306640625,15740.0,0.04162987694144249,0.39645394682884216,0.2741326093673706,0.10050326585769653,9,10,3,6,,,,10,,00001111|00001111|00101011|00101011|00101011|00101011|00101011|00111010|00111010|00111010|00111010|00111010|00111010|00011110|00011110|00011110|10011100|10001110|10001110|10001110,8,7
1,14,random,R0.5,1.2241709232330322,0.38054981135378263,0.9661381999887841,23200.0,24200.0,0.05020245909690857,0.6379109025001526,0.33505091071128845,0.20100653171539307,11,20,0,11,,,,20,,10100011|10100011|10101001|10101100|11100100|10100101|10001101|10001101|11000101|01010101|01010101|01000111|01000111|01000111|01000111|11000110|11000110|11000110|11000110|10001110,13,16
1,15,random,R0.5,1.17530357837677,0.3816204007666094,0.9633288797085694,22584.615234375,24540.0,0.059039048850536346,0.6307668089866638,0.3045917749404907,0.18090587854385376,10,18,1,10,,,,18,,10110010|10110010|10010110|11000110|11000110|11000110|11100100|10110100|10110100|10110100|10110100|10100101|10100101|10100011|10110001|10110001|10110001|10010011|11010010|11010010,12,15
2,0,baseline,B1,0.6518536806106567,0.5689865343189638,0.5638985106561134,10913.9130859375,11340.0,0.03694947808980942,0.310312420129776,0.3045917749404907,0.0,10,0,1,1,,,0,0,0,10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011|10100011,4,5
2,1,baseline,B2,1.417496681213379,0.3423093859782383,1.0720403134940333,21976.455078125,24620.0,0.02921176701784134,0.8144916892051697,0.09137753397226334,0.48241567611694336,3,48,4,18,,,48,48,0,10000111|10000111|01011100|01101010|11100010|11000110|11000011|01100011|11100001|00110101|10110001|10000111|10000111|10110100|10100110|00011110|10011010|01011010|01101010|00101011,15,14
2,2,baseline,B3,0.6496886610984802,0.6137936697572514,0.4880964500506417,13624.6826171875,14520.0,0.06362833827733994,0.4240223467350006,0.12183671444654465,0.04020130634307861,4,4,2,3,,,4,4,0,11010100|11010100|11010100|11010100|11010100|11010100|01110100|01110100|01110100|01110100|01110100|01110100|01110100|01110100|00110101|00110101|00110101|00110101|00110101|00110101,3,1
2,3,baseline,B4,0.6830635070800781,0.5574068728858962,0.5844598337521502,11104.6826171875,10900.0,0.03690316528081894,0.31110936403274536,0.33505094051361084,0.0,11,0,2,1,,,0,0,0,00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111,7,7
