seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner,liveness,idle_rate
19,hotcore,20,5,0.159,0.259,0.4424,1,32,10,0.605257,0.600306,0.561779,5840.0,18000.0,14000.0,10,10,10,0|1|3|6,0|1|3|6,2|4|5|7,2xSC,0.605257,5840.0,-11.014,2.3973,0,0,2xSC,0.625000,0.375000
20,hotcore,20,3,0.14,0.3096,0.3351,0,24,4,0.790867,0.755488,0.793763,4480.0,19000.0,7040.0,4,4,5,0|2|3|7,0|2|3|7,3|4|5|6,2xSC,0.790867,4480.0,1.385,1.5714,1,0,SC+NA,0.500000,0.500000
21,hotcore,20,4,0.141,0.2454,0.3382,0,22,6,0.726162,0.73752,0.748185,4880.0,17000.0,9340.0,6,6,6,0|1|2|5,0|1|2|5,3|4|6|7,2xNA,0.73752,17000.0,4.063,0.5494,0,1,SC+NA,0.450000,0.550000
22,hotcore,20,4,0.037,0.4233,0.4389,0,31,1,0.778332,0.79189,0.869087,6620.0,19000.0,7420.0,1,1,1,0|2|5|7,0|2|5|7,0|2|5|7,2xNA,0.79189,19000.0,37.094,0.3905,0,1,SC+NA,0.506250,0.493750
23,hotcore,20,3,0.19,0.2022,0.3439,0,22,9,0.676329,0.671883,0.663014,3460.0,16500.0,9160.0,9,9,9,0|3|4|5,0|1|2|4,0|1|2|4,2xSC,0.676329,3460.0,-4.114,2.6474,0,0,2xSC,0.500000,0.500000
24,hotcore,20,3,0.17,0.3388,0.341,0,25,5,0.732118,0.737324,0.765253,4660.0,19000.0,7360.0,5,5,5,0|2|4|7,0|2|4|7,1|3|5|7,2xNA,0.737324,19000.0,10.633,0.3874,0,1,SC+NA,0.443750,0.556250
25,hotcore,20,3,0.186,0.2325,0.329,0,19,6,0.723918,0.733097,0.700092,3860.0,15000.0,9040.0,6,6,7,0|4|5|6,0|4|5|6,3|4|5|7,2xNA,0.733097,15000.0,-12.366,0.6027,0,0,2xNA,0.412500,0.587500
26,hotcore,20,5,0.049,0.3288,0.4496,1,33,10,0.584386,0.597773,0.563786,6040.0,19500.0,14500.0,10,10,10,0|3|6|7,0|3|6|7,0|3|6|7,2xNA,0.597773,19500.0,-8.45,0.7436,0,0,2xNA,0.581250,0.418750
27,hotcore,20,3,0.143,0.2601,0.2713,0,18,3,0.749225,0.801817,0.806581,4280.0,17000.0,9740.0,5,3,3,0|1|2|6,0|1|2|5,0|1|2|5,2xNA,0.801817,17000.0,2.404,0.5729,0,1,SC+NA,0.443750,0.556250
28,hotcore,20,3,0.035,0.3159,0.2758,0,16,1,0.833994,0.868139,0.882673,4900.0,16000.0,6140.0,1,1,1,0|1|3|5,0|4|6|7,1|2|3|5,2xNA,0.868139,16000.0,11.022,0.3837,0,1,SC+NA,0.337500,0.662500
