seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner
40,hotcore,20,4,0.076,0.3403,0.3949,0,28,2,0.808876,0.78968,0.850449,4640.0,17500.0,6240.0,2,2,2,0|1|2|6,0|1|2|6,0|1|2|6,2xSC,0.808876,4640.0,21.752,1.3448,1,0,SC+NA
41,hotcore,20,4,0.141,0.3467,0.4162,0,31,5,0.702009,0.712804,0.754753,5820.0,19000.0,8220.0,5,5,5,0|2|4|7,0|2|4|7,1|3|5|6,2xNA,0.712804,19000.0,14.606,0.4326,0,1,SC+NA
42,hotcore,20,5,0.15,0.3273,0.4924,1,35,10,0.565131,0.628034,0.580971,8420.0,19000.0,15400.0,10,10,10,0|2|5|7,0|2|5|7,0|2|5|7,2xNA,0.628034,19000.0,-12.653,0.8105,0,0,2xNA
43,hotcore,20,3,0.08,0.3382,0.2893,0,21,1,0.766735,0.828978,0.864584,6620.0,19500.0,6820.0,1,1,1,0|2|3|7,0|2|3|7,1|4|5|6,2xNA,0.828978,19500.0,20.82,0.3497,0,1,SC+NA
44,hotcore,20,4,0.053,0.3804,0.4045,0,30,2,0.713875,0.782742,0.818539,8260.0,19500.0,9260.0,2,2,2,0|2|4|5,0|2|4|5,1|3|6|7,2xNA,0.782742,19500.0,16.477,0.4749,0,1,SC+NA
45,hotcore,20,4,0.014,0.3675,0.3776,0,28,1,0.756945,0.805471,0.852696,7220.0,18500.0,8020.0,1,1,1,0|2|3|6,0|2|3|6,0|2|3|6,2xNA,0.805471,18500.0,24.276,0.4335,0,1,SC+NA
46,hotcore,20,3,0.179,0.3315,0.4031,0,30,7,0.614704,0.678802,0.672244,6820.0,19500.0,9740.0,8,7,8,0|3|4|6,0|4|5|6,0|2|4|6,2xNA,0.678802,19500.0,-2.042,0.4995,0,0,2xNA
47,hotcore,20,4,0.059,0.3682,0.3789,0,28,0,0.775021,0.823391,0.886921,7420.0,19500.0,7420.0,0,0,0,0|2|5|7,0|2|5|7,1|3|4|6,2xNA,0.823391,19500.0,35.972,0.3805,0,1,SC+NA
48,hotcore,20,5,0.106,0.3407,0.5242,1,39,16,0.496527,0.515458,0.472998,5620.0,18500.0,16600.0,17,16,16,0|3|4|6,0|1|3|6,2|4|5|7,2xNA,0.515458,18500.0,-8.763,0.8973,0,0,2xNA
49,hotcore,20,3,0.115,0.285,0.3343,0,22,4,0.712137,0.769767,0.750399,6220.0,17500.0,9420.0,4,4,4,0|2|3|5,0|2|3|5,0|2|3|5,2xNA,0.769767,17500.0,-8.412,0.5383,0,0,2xNA
50,hotcore,20,4,0.156,0.3955,0.519,0,39,9,0.619525,0.631858,0.656444,6640.0,19500.0,11020.0,9,9,9,0|3|6|7,0|3|6|7,1|2|4|5,2xNA,0.631858,19500.0,6.678,0.5651,0,1,SC+NA
51,hotcore,20,3,0.059,0.3442,0.3292,0,24,3,0.723681,0.778411,0.795212,6640.0,19500.0,8440.0,3,3,3,0|3|5|7,0|3|5|7,1|2|4|6,2xNA,0.778411,19500.0,7.582,0.4328,0,1,SC+NA
52,hotcore,20,4,0.08,0.4348,0.4797,0,36,1,0.768361,0.789546,0.863184,7240.0,19000.0,7920.0,1,1,1,0|3|4|5,0|3|4|5,0|3|4|5,2xNA,0.789546,19000.0,34.99,0.4168,0,1,SC+NA
53,hotcore,20,5,0.148,0.3515,0.536,1,40,13,0.561004,0.550492,0.526862,5420.0,19500.0,14500.0,13,13,13,0|1|5|7,0|1|5|7,2|3|4|6,2xSC,0.561004,5420.0,-7.777,2.6753,0,0,2xSC
54,hotcore,20,3,0.192,0.304,0.3527,0,26,5,0.655956,0.733561,0.725154,7640.0,18500.0,10500.0,5,5,5,0|1|3|5,0|1|5|6,2|3|4|7,2xNA,0.733561,18500.0,-3.155,0.5676,0,0,2xNA
55,hotcore,20,3,0.025,0.3456,0.3027,0,20,1,0.804946,0.837576,0.874807,5240.0,18000.0,6040.0,1,1,1,0|2|4|7,0|2|4|7,1|3|5|6,2xNA,0.837576,18000.0,22.922,0.3356,0,1,SC+NA
56,hotcore,20,5,0.198,0.3161,0.5609,1,42,15,0.487602,0.505257,0.489609,7020.0,19500.0,14520.0,15,15,15,0|2|3|5,0|2|3|5,0|2|3|5,2xNA,0.505257,19500.0,-3.163,0.7446,0,0,2xNA
57,hotcore,20,3,0.108,0.2812,0.3001,0,21,4,0.728489,0.77991,0.778764,5660.0,17500.0,8060.0,4,4,4,0|1|3|7,0|1|2|3,2|4|5|6,2xNA,0.77991,17500.0,-0.521,0.4606,0,0,2xNA
58,hotcore,20,5,0.087,0.2981,0.4071,1,30,10,0.601017,0.636265,0.609869,6220.0,19500.0,12520.0,10,10,10,0|1|3|6,0|1|3|6,0|1|3|6,2xNA,0.636265,19500.0,-7.257,0.6421,0,0,2xNA
59,hotcore,20,3,0.171,0.2922,0.3369,0,21,2,0.76287,0.820628,0.820821,6240.0,17000.0,7840.0,2,2,2,0|2|6|7,0|2|6|7,1|3|4|5,2xNA,0.820628,17000.0,0.108,0.4612,0,1,SC+NA
60,hotcore,20,4,0.102,0.323,0.397,0,28,3,0.803058,0.768571,0.833399,3840.0,17000.0,5440.0,3,3,3,0|3|5|6,0|3|5|6,1|2|4|7,2xSC,0.803058,3840.0,15.406,1.4167,1,0,SC+NA
61,hotcore,20,4,0.163,0.321,0.4699,0,35,8,0.604402,0.626327,0.649538,6820.0,19500.0,10040.0,8,8,8,0|3|5|6,0|3|5|6,1|2|4|7,2xNA,0.626327,19500.0,6.212,0.5149,0,1,SC+NA
62,hotcore,20,5,0.078,0.3824,0.5262,1,39,15,0.482813,0.498252,0.464006,6220.0,19500.0,17020.0,15,15,15,0|1|2|3,0|1|3|7,0|1|3|7,2xNA,0.498252,19500.0,-6.825,0.8728,0,0,2xNA
63,hotcore,20,4,0.083,0.3493,0.4136,0,31,5,0.709388,0.732025,0.761337,6020.0,18500.0,8700.0,5,5,5,0|1|4|5,0|1|4|5,2|3|6|7,2xNA,0.732025,18500.0,10.938,0.4703,0,1,SC+NA
64,hotcore,20,4,0.141,0.3469,0.4791,0,36,10,0.596246,0.624221,0.625441,6620.0,18500.0,11700.0,10,10,10,0|2|6|7,0|2|6|7,1|3|4|5,2xNA,0.624221,18500.0,0.325,0.6324,0,1,SC+NA
65,hotcore,20,4,0.11,0.3506,0.4341,0,31,6,0.69348,0.716527,0.717001,5860.0,18000.0,10340.0,6,6,6,0|3|5|6,0|3|5|6,1|2|4|7,2xNA,0.716527,18000.0,0.167,0.5744,0,1,SC+NA
66,hotcore,20,3,0.066,0.3033,0.3017,0,22,3,0.755039,0.78543,0.803794,5460.0,18500.0,7340.0,3,3,3,0|1|3|4,0|2|6|7,0|1|3|4,2xNA,0.78543,18500.0,8.559,0.3968,0,1,SC+NA
67,hotcore,20,3,0.089,0.3511,0.3403,0,25,4,0.718744,0.761686,0.781825,6220.0,19500.0,8260.0,4,4,4,0|2|4|5,0|2|4|5,1|3|6|7,2xNA,0.761686,19500.0,8.451,0.4236,0,1,SC+NA
68,hotcore,20,5,0.056,0.3284,0.4705,1,35,13,0.538445,0.558189,0.532101,6220.0,19500.0,14100.0,13,13,13,0|4|6|7,0|4|6|7,0|4|6|7,2xNA,0.558189,19500.0,-5.905,0.7231,0,0,2xNA
69,hotcore,20,5,0.184,0.2989,0.4562,1,34,11,0.571549,0.589709,0.564693,6040.0,19000.0,13100.0,11,11,11,0|2|6|7,0|2|6|7,0|2|6|7,2xNA,0.589709,19000.0,-6.097,0.6895,0,0,2xNA
70,hotcore,20,3,0.071,0.3295,0.2885,0,20,2,0.746259,0.810951,0.826072,6500.0,19000.0,7680.0,2,2,2,0|1|6|7,0|1|2|6,3|4|5|7,2xNA,0.810951,19000.0,7.999,0.4042,0,1,SC+NA
71,hotcore,20,4,0.048,0.2995,0.3283,0,23,2,0.808139,0.817152,0.865625,4640.0,16500.0,5720.0,2,2,2,0|1|2|5,0|1|2|5,0|1|2|5,2xNA,0.817152,16500.0,26.51,0.3467,0,1,SC+NA
72,hotcore,20,3,0.081,0.3159,0.2905,0,19,1,0.828954,0.847774,0.878961,4700.0,18500.0,5780.0,1,1,1,0|3|4|6,0|3|4|6,1|2|5|7,2xNA,0.847774,18500.0,20.487,0.3124,0,1,SC+NA
73,hotcore,20,4,0.067,0.347,0.4031,0,30,2,0.786549,0.78842,0.854948,5480.0,17500.0,6340.0,2,2,2,0|2|5|7,0|2|5|7,1|3|4|6,2xNA,0.78842,17500.0,31.443,0.3623,0,1,SC+NA
74,hotcore,20,5,0.187,0.3377,0.5615,1,42,14,0.526893,0.527424,0.482114,6020.0,19500.0,16700.0,14,14,14,0|1|6|7,0|1|6|7,0|1|6|7,2xNA,0.527424,19500.0,-9.588,0.8564,0,0,2xNA
75,hotcore,20,4,0.137,0.3691,0.4437,0,33,5,0.683227,0.697974,0.750071,6440.0,19500.0,8340.0,5,5,5,0|3|4|6,0|3|4|6,0|3|4|6,2xNA,0.697974,19500.0,17.249,0.4277,0,1,SC+NA
76,hotcore,20,4,0.17,0.2741,0.4175,0,31,6,0.700642,0.696352,0.720128,5060.0,17500.0,8360.0,6,6,6,0|4|5|6,0|4|5|6,1|2|3|7,2xSC,0.700642,5060.0,6.509,1.6522,1,0,SC+NA
77,hotcore,20,4,0.032,0.4246,0.4385,0,33,1,0.76066,0.787723,0.857491,7220.0,19500.0,8020.0,1,1,1,0|2|3|4,0|2|3|4,1|5|6|7,2xNA,0.787723,19500.0,32.866,0.4113,0,1,SC+NA
78,hotcore,20,3,0.059,0.3233,0.3427,0,24,3,0.740133,0.779189,0.779286,6020.0,18500.0,8900.0,3,3,3,0|4|6|7,0|4|6|7,1|2|3|5,2xNA,0.779189,18500.0,0.044,0.4811,0,1,SC+NA
79,hotcore,20,3,0.057,0.3274,0.2601,0,13,0,0.87283,0.901843,0.936794,3860.0,15000.0,3860.0,0,0,0,0|1|3|5,0|1|3|5,2|4|5|7,2xNA,0.901843,15000.0,35.607,0.2573,0,1,SC+NA
80,hotcore,20,4,0.111,0.3182,0.3887,0,29,5,0.687007,0.737396,0.764709,6840.0,18000.0,8460.0,5,5,5,0|1|2|7,0|1|2|7,3|4|5|6,2xNA,0.737396,18000.0,10.401,0.47,0,1,SC+NA
81,hotcore,20,5,0.013,0.3724,0.4808,1,34,12,0.542346,0.558303,0.517279,5040.0,18500.0,15620.0,13,12,12,0|1|3|6,0|1|5|6,2|3|4|7,2xNA,0.558303,18500.0,-9.288,0.8443,0,0,2xNA
82,hotcore,20,3,0.164,0.3307,0.4175,0,31,8,0.621224,0.659048,0.661815,6820.0,19500.0,10620.0,8,8,8,0|1|3|6,0|1|3|6,2|4|5|7,2xNA,0.659048,19500.0,0.812,0.5446,0,1,SC+NA
83,hotcore,20,4,0.191,0.2975,0.4025,0,30,4,0.689922,0.732798,0.75705,7220.0,19500.0,9040.0,4,4,4,0|1|3|7,0|1|3|7,0|1|3|7,2xNA,0.732798,19500.0,9.076,0.4636,0,1,SC+NA
84,hotcore,20,5,0.136,0.3201,0.5229,1,39,16,0.501406,0.515602,0.466502,5440.0,19500.0,17200.0,17,16,16,0|3|4|5,0|4|5|6,0|4|5|6,2xNA,0.515602,19500.0,-10.136,0.8821,0,0,2xNA
85,hotcore,20,3,0.158,0.2941,0.3266,0,24,2,0.738751,0.8067,0.818451,7020.0,18500.0,8060.0,2,2,2,0|1|2|7,0|1|2|7,0|1|2|7,2xNA,0.8067,18500.0,6.079,0.4357,0,1,SC+NA
86,hotcore,20,3,0.144,0.3434,0.3272,0,24,3,0.735427,0.782248,0.80368,6220.0,19500.0,7820.0,3,3,3,0|4|5|7,0|4|5|7,0|4|5|7,2xNA,0.782248,19500.0,9.842,0.401,0,1,SC+NA
87,hotcore,20,3,0.153,0.333,0.3571,0,25,3,0.775986,0.773257,0.791846,4640.0,19000.0,7240.0,3,3,3,0|1|5|7,0|1|5|7,2|3|4|6,2xSC,0.775986,4640.0,7.08,1.5603,1,0,SC+NA
88,hotcore,20,4,0.142,0.3476,0.4182,0,31,5,0.707308,0.722186,0.775821,6040.0,19000.0,7640.0,5,5,5,0|1|2|3,0|1|2|3,0|1|2|3,2xNA,0.722186,19000.0,19.306,0.4021,0,1,SC+NA
89,hotcore,20,3,0.038,0.3307,0.3024,0,22,1,0.809441,0.839871,0.866533,5420.0,19500.0,6700.0,1,1,1,0|3|6|7,0|3|6|7,1|2|4|5,2xNA,0.839871,19500.0,16.65,0.3436,0,1,SC+NA
90,hotcore,20,3,0.069,0.3388,0.2997,0,22,1,0.765039,0.833409,0.869168,6820.0,19500.0,6840.0,1,1,1,0|2|6|7,0|2|6|7,1|3|4|5,2xNA,0.833409,19500.0,21.465,0.3508,0,1,SC+NA
91,hotcore,20,3,0.19,0.2679,0.3763,0,28,3,0.756603,0.776357,0.779759,5880.0,19000.0,8520.0,3,3,3,0|2|5|6,0|2|5|6,0|2|5|6,2xNA,0.776357,19000.0,1.521,0.4484,0,1,SC+NA
92,hotcore,20,4,0.1,0.3834,0.4418,0,33,4,0.722527,0.731391,0.789605,6240.0,19000.0,8040.0,4,4,4,0|4|5|6,0|4|5|6,0|4|5|6,2xNA,0.731391,19000.0,21.672,0.4232,0,1,SC+NA
93,hotcore,20,4,0.084,0.3365,0.4391,0,33,4,0.686054,0.738441,0.757885,7820.0,18500.0,9900.0,4,4,4,0|2|5|6,0|2|5|6,0|2|5|6,2xNA,0.738441,18500.0,7.434,0.5351,0,1,SC+NA
94,hotcore,20,5,0.141,0.3777,0.5229,1,39,11,0.551151,0.578918,0.566235,7440.0,19500.0,14020.0,11,11,11,0|2|3|5,0|2|3|5,0|2|3|5,2xNA,0.578918,19500.0,-3.012,0.719,0,0,2xNA
95,hotcore,20,5,0.13,0.3629,0.5622,1,42,13,0.512413,0.524908,0.499443,7020.0,19500.0,15800.0,13,13,13,0|1|3|5,0|1|3|5,0|1|3|5,2xNA,0.524908,19500.0,-5.36,0.8103,0,0,2xNA
96,hotcore,20,4,0.075,0.2914,0.339,0,25,4,0.712719,0.765048,0.771735,6440.0,18000.0,8920.0,4,4,4,0|2|4|6,0|2|4|6,1|3|5|7,2xNA,0.765048,18000.0,2.846,0.4956,0,1,SC+NA
97,hotcore,20,3,0.165,0.3305,0.3802,0,28,6,0.670644,0.703072,0.706251,6280.0,19500.0,9320.0,6,6,7,0|1|3|5,0|1|3|5,2|3|6|7,2xNA,0.703072,19500.0,1.071,0.4779,0,1,SC+NA
98,hotcore,20,4,0.064,0.434,0.481,0,36,1,0.848528,0.785882,0.899231,4240.0,19500.0,5040.0,1,1,1,0|2|3|7,0|2|3|7,0|2|3|7,2xSC,0.848528,4240.0,33.473,1.1887,1,0,SC+NA
99,hotcore,20,4,0.035,0.2935,0.2898,0,20,1,0.79461,0.848053,0.872012,5820.0,17500.0,6620.0,1,1,1,0|2|3|5,0|2|3|5,1|4|6|7,2xNA,0.848053,17500.0,15.768,0.3783,0,1,SC+NA
